 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15	Profile_Slice_16	Profile_Slice_17	Profile_Slice_18	Profile_Slice_19	Profile_Slice_20	Profile_Slice_21	Profile_Slice_22	Profile_Slice_23	Profile_Slice_24
97	181.597	181.597	182.174	181.560	182.054	185.925	188.956	192.832	182.003	186.698	189.831	188.018	196.613	189.733	189.866	186.977	184.222	187.753	188.777	186.314	189.532	188.474	191.944	180.112
98	185.268	185.268	184.455	186.120	181.659	185.256	181.488	190.049	186.774	185.775	185.426	190.723	199.042	191.358	187.783	188.845	193.566	189.542	192.480	185.240	188.202	188.800	190.761	182.111
99	186.040	186.040	181.521	179.580	190.114	184.648	185.958	188.360	183.076	183.497	185.647	189.955	195.402	187.810	182.998	185.057	188.356	194.788	192.040	187.837	186.649	191.257	189.953	185.845
100	186.877	186.877	182.848	178.425	186.641	183.802	186.285	182.162	181.523	180.225	186.517	187.059	197.858	190.209	191.642	190.496	187.654	186.006	185.651	185.523	191.024	191.887	188.255	180.202
101	189.260	189.260	186.561	183.644	185.010	186.244	183.990	186.893	182.559	179.873	177.873	186.074	192.770	182.842	187.978	196.683	183.995	189.145	183.937	181.390	190.217	192.460	184.795	178.280
102	184.700	184.700	188.323	184.629	182.861	184.841	186.093	188.558	179.063	176.900	182.227	188.669	193.974	188.536	184.539	191.417	185.450	188.109	189.087	186.189	196.309	191.798	184.042	184.763
103	184.133	184.133	185.329	181.910	184.682	185.378	186.602	189.700	182.919	174.956	186.004	185.166	194.043	189.842	184.354	188.855	185.404	191.101	188.157	185.087	186.659	191.119	185.864	183.909
104	187.693	187.693	185.235	185.853	181.840	189.796	187.257	186.230	182.648	180.672	183.268	184.388	198.227	188.923	190.335	190.600	187.197	191.296	189.823	186.592	187.147	192.331	187.663	186.948
105	184.946	184.946	180.032	185.857	181.722	185.113	184.686	184.873	184.460	182.452	189.607	188.228	194.382	183.911	188.042	188.725	189.570	188.779	188.925	188.086	191.996	184.924	189.782	178.668
106	188.237	188.237	177.454	181.745	186.223	183.505	186.730	186.978	179.574	178.294	184.858	186.791	189.679	181.000	182.394	192.274	189.739	192.741	189.712	187.542	190.192	189.222	189.400	179.208
107	184.640	184.640	185.662	180.982	178.608	185.130	182.813	187.729	184.616	176.836	183.183	187.519	192.445	185.157	181.800	191.230	192.348	189.599	184.937	184.984	185.345	189.933	179.802	183.090
108	182.410	182.410	184.739	180.257	186.464	186.753	184.856	181.483	186.414	177.313	181.505	185.527	196.014	183.520	179.716	186.956	187.174	185.241	185.742	188.768	184.128	192.610	183.444	183.449
109	185.822	185.822	187.489	182.131	190.038	188.709	184.628	183.951	185.362	181.014	184.367	186.570	196.552	188.034	183.637	191.990	187.462	185.014	190.451	189.183	187.620	189.280	184.748	182.032
110	181.619	181.619	178.097	183.181	182.978	183.247	180.701	189.233	182.309	185.581	180.710	180.991	194.678	179.503	180.823	193.623	189.864	191.948	190.425	187.866	189.440	191.581	182.829	185.509
111	183.677	183.677	186.372	176.991	182.108	190.791	184.676	184.470	182.256	181.159	182.833	185.373	196.108	189.037	179.801	188.629	184.850	189.026	190.482	187.228	184.535	191.275	180.652	187.770
112	184.886	184.886	183.599	177.770	178.373	185.433	182.598	180.755	174.416	178.017	181.300	187.198	192.205	191.469	178.447	184.670	190.897	184.559	182.139	183.864	184.005	184.960	183.110	185.351
113	186.992	186.992	186.289	181.204	181.736	183.519	176.640	184.954	180.042	184.037	184.881	184.565	189.670	190.105	178.070	186.802	194.576	181.754	185.254	187.005	187.715	185.711	189.872	185.609
114	180.626	180.626	182.212	183.057	181.535	183.169	178.767	176.062	184.348	186.382	181.632	186.953	194.005	191.961	180.046	186.793	187.341	184.289	188.958	188.578	184.890	186.871	186.455	174.976
