 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15	Profile_Slice_16	Profile_Slice_17	Profile_Slice_18	Profile_Slice_19	Profile_Slice_20	Profile_Slice_21	Profile_Slice_22
131	210.651	210.651	214.510	206.619	210.046	218.293	213.975	214.525	217.373	215.250	219.739	210.781	201.253	218.007	218.135	213.313	215.313	208.257	210.847	203.747	220.503	213.654
132	207.829	207.829	206.044	203.060	209.903	214.695	206.012	209.954	212.655	215.772	220.209	215.260	209.003	220.334	220.824	218.773	215.057	214.964	218.064	203.225	209.161	205.804
133	210.099	210.099	213.034	208.221	213.132	221.426	213.089	209.639	210.910	215.172	216.875	218.800	216.340	207.052	220.044	227.533	212.298	213.807	207.192	208.580	211.264	215.982
134	212.348	212.348	204.646	211.572	217.429	212.113	213.836	209.849	212.066	216.936	210.667	213.716	203.568	213.103	218.927	223.434	208.330	213.811	213.755	208.031	207.776	208.836
135	217.157	217.157	207.525	210.517	224.815	205.646	207.191	217.329	206.816	220.119	210.610	212.171	203.024	213.148	221.229	213.570	213.369	214.483	204.233	213.029	208.503	214.262
136	218.127	218.127	207.926	209.661	216.850	215.757	210.203	209.008	211.623	213.942	216.306	214.574	211.192	210.971	216.470	221.830	207.694	214.364	211.811	211.620	211.523	212.997
137	213.153	213.153	205.552	211.469	219.877	222.795	214.691	209.528	207.241	221.477	218.279	219.103	219.551	212.040	223.122	218.057	204.362	215.572	218.906	211.788	213.231	218.247
138	214.549	214.549	213.135	218.244	212.339	202.301	212.413	209.849	208.527	216.598	216.941	214.202	216.630	215.616	216.251	214.355	212.837	215.055	222.428	208.766	215.632	212.021
139	209.909	209.909	213.364	217.070	207.665	206.600	207.549	207.172	211.887	220.247	207.995	215.853	212.327	221.534	212.017	212.985	210.680	210.617	208.168	207.933	215.898	211.565
140	218.736	218.736	211.875	210.934	211.881	216.242	204.601	203.672	209.206	219.598	207.943	210.015	210.983	214.993	208.033	218.255	214.719	215.428	212.650	216.150	213.596	211.308
