 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14
147	1391.387	1551.090	1498.947	1452.049	1474.788	1437.759	1485.400	1491.199	1431.937	1449.351	1442.481	1414.741	1383.684	1378.491
148	1378.870	1566.242	1505.177	1448.057	1491.257	1448.895	1484.701	1486.870	1421.015	1426.456	1422.755	1414.982	1400.419	1392.071
149	1368.841	1540.338	1473.680	1455.461	1457.474	1453.780	1470.989	1466.324	1418.565	1443.932	1417.823	1417.144	1406.991	1397.722
150	1394.778	1534.852	1492.431	1444.878	1482.645	1461.055	1474.113	1475.498	1434.968	1448.473	1443.564	1410.901	1408.288	1390.484
151	1398.648	1553.350	1513.744	1465.823	1480.530	1451.838	1464.926	1487.089	1419.251	1466.963	1447.603	1408.476	1420.186	1390.342
152	1390.182	1545.590	1522.264	1468.959	1473.417	1445.513	1475.857	1472.818	1430.326	1455.891	1435.396	1407.618	1426.103	1408.391
153	1385.204	1548.071	1534.177	1500.127	1479.915	1475.530	1491.934	1485.326	1444.921	1438.818	1419.272	1411.377	1412.991	1401.181
154	1375.477	1509.281	1519.166	1480.334	1472.789	1460.627	1473.121	1479.617	1444.330	1476.457	1439.029	1440.897	1406.019	1421.492
155	1391.861	1537.784	1495.980	1473.076	1482.019	1458.811	1494.629	1501.237	1443.230	1460.288	1451.827	1435.101	1407.409	1422.393
156	1406.349	1549.693	1518.257	1478.219	1500.361	1475.640	1498.343	1489.753	1439.051	1447.985	1433.293	1435.088	1396.771	1412.250
157	1381.138	1565.198	1527.247	1475.825	1472.694	1458.729	1484.858	1491.394	1442.090	1436.870	1440.312	1424.973	1425.882	1395.865
158	1394.278	1559.028	1545.299	1461.115	1506.377	1468.919	1510.755	1492.578	1447.014	1451.172	1440.801	1425.590	1414.889	1413.787
159	1411.127	1580.621	1526.805	1458.039	1531.522	1489.528	1496.408	1483.795	1452.652	1467.319	1451.629	1439.043	1403.840	1409.360
160	1394.029	1582.293	1532.864	1485.392	1530.037	1487.186	1524.095	1497.368	1466.331	1464.838	1451.181	1449.244	1424.385	1415.324
161	1389.934	1589.489	1527.349	1487.517	1516.333	1476.661	1537.630	1507.590	1461.075	1472.264	1453.403	1448.976	1438.926	1435.452
162	1409.878	1590.388	1533.992	1491.221	1534.390	1482.480	1512.832	1527.810	1468.238	1497.333	1459.053	1451.096	1417.686	1420.864
163	1388.755	1566.667	1534.198	1499.185	1523.544	1481.326	1489.585	1481.300	1452.877	1481.268	1471.917	1436.236	1433.812	1404.158
164	1392.136	1572.968	1539.068	1497.263	1515.387	1489.580	1507.499	1487.982	1473.086	1482.636	1462.831	1450.494	1427.266	1437.156
165	1414.453	1598.610	1544.319	1508.403	1555.841	1482.638	1544.600	1517.482	1476.513	1486.664	1472.714	1445.288	1431.101	1450.986
166	1432.750	1571.649	1534.893	1501.298	1533.816	1507.832	1540.593	1523.821	1501.642	1502.292	1458.218	1457.574	1445.921	1432.227
167	1417.726	1585.087	1543.487	1495.089	1517.888	1498.623	1514.150	1516.450	1473.484	1479.264	1448.291	1468.371	1434.970	1445.778
168	1447.572	1619.490	1543.618	1507.414	1522.047	1494.398	1547.931	1512.576	1460.259	1469.992	1478.502	1465.283	1444.489	1440.865
169	1438.845	1600.350	1550.601	1498.999	1538.013	1498.418	1542.193	1526.770	1479.431	1493.658	1495.329	1450.180	1477.184	1443.691
170	1431.910	1582.740	1572.085	1497.636	1529.542	1504.944	1537.488	1524.851	1461.351	1458.654	1500.529	1453.021	1467.284	1462.598
171	1437.062	1598.363	1561.422	1514.313	1539.433	1499.637	1537.255	1517.446	1487.345	1497.657	1472.696	1492.103	1453.496	1456.703
172	1454.077	1630.052	1570.790	1524.555	1540.721	1498.064	1541.211	1534.854	1488.320	1513.195	1497.402	1486.647	1476.181	1472.245
173	1460.955	1592.858	1550.044	1536.625	1548.656	1510.986	1562.863	1554.668	1483.365	1517.276	1494.385	1488.005	1481.240	1476.384
174	1468.621	1609.452	1530.075	1529.518	1565.012	1534.121	1566.051	1538.728	1491.334	1505.025	1498.464	1468.148	1488.055	1475.697
175	1447.053	1619.227	1568.783	1525.547	1556.889	1529.772	1547.959	1565.658	1494.497	1514.357	1507.641	1482.094	1467.406	1469.114
176	1475.395	1625.379	1577.673	1517.429	1548.478	1526.103	1553.618	1550.765	1507.171	1523.664	1492.027	1500.928	1482.317	1496.424
177	1485.355	1636.275	1568.305	1521.360	1559.893	1514.393	1572.577	1545.364	1515.748	1531.583	1509.328	1523.683	1487.671	1471.885
178	1487.940	1624.003	1577.948	1535.337	1570.603	1544.581	1584.967	1583.887	1509.519	1556.061	1515.721	1505.986	1494.735	1474.588
179	1473.335	1620.193	1585.644	1541.742	1567.159	1519.592	1584.242	1600.099	1548.977	1532.560	1511.161	1508.630	1509.789	1492.599
180	1507.721	1618.300	1583.750	1560.426	1556.675	1536.943	1567.705	1588.719	1537.852	1540.992	1521.858	1519.935	1490.561	1494.763
181	1491.587	1612.724	1608.642	1550.882	1582.092	1554.097	1581.959	1597.730	1528.262	1534.316	1537.805	1524.733	1500.611	1519.107
182	1513.977	1659.068	1601.587	1585.483	1572.263	1549.078	1595.760	1600.365	1550.320	1534.557	1542.338	1532.120	1502.683	1521.270
183	1500.869	1636.913	1613.725	1574.651	1588.788	1555.768	1573.383	1569.555	1544.882	1548.183	1540.265	1543.536	1505.846	1505.704
184	1477.573	1639.116	1606.317	1567.296	1604.902	1555.923	1588.470	1570.182	1543.557	1545.569	1550.454	1536.117	1519.597	1521.761
