 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15	Profile_Slice_16	Profile_Slice_17	Profile_Slice_18	Profile_Slice_19
123	226.612	226.612	246.525	239.952	243.424	252.605	250.879	245.028	251.897	254.017	247.529	249.079	242.930	253.167	252.415	241.819	249.048	243.704	244.454
124	229.200	229.200	243.077	251.170	243.025	251.509	247.651	245.967	248.715	252.894	243.789	249.922	243.054	249.400	242.649	250.222	246.094	249.002	242.631
125	233.354	233.354	239.035	240.318	242.250	248.919	251.546	237.290	254.641	244.936	251.653	255.391	247.199	256.143	240.419	246.546	240.501	261.630	233.105
126	230.564	230.564	240.717	242.767	250.287	237.284	246.806	236.835	246.366	243.289	252.108	247.176	243.330	237.668	240.129	239.171	237.631	242.906	243.539
127	227.012	227.012	239.085	243.255	244.274	234.661	238.979	235.531	240.759	243.534	238.266	244.514	237.189	245.334	243.520	240.430	239.262	240.404	242.121
128	222.062	222.062	239.093	234.638	236.103	246.611	240.680	234.145	239.831	243.490	242.831	244.294	239.695	237.767	234.108	227.943	232.597	241.453	237.789
129	225.037	225.037	233.311	237.600	230.926	246.421	243.820	235.260	231.712	239.011	240.278	241.732	238.281	236.304	238.409	232.561	228.092	237.987	232.067
130	221.907	221.907	234.076	240.719	234.402	235.513	239.183	229.815	233.294	237.664	243.033	240.698	249.643	232.180	233.651	220.923	223.540	239.387	220.650
131	230.884	230.884	234.107	231.304	247.137	235.874	230.128	227.181	237.937	232.497	235.477	239.675	240.875	239.618	238.677	225.748	224.582	238.311	223.873
132	232.862	232.862	235.532	231.986	237.825	232.771	231.605	233.152	242.022	227.586	236.749	243.542	227.330	228.838	234.047	236.022	225.785	230.611	223.467
133	228.351	228.351	234.241	235.030	227.584	226.676	238.461	228.166	233.255	231.234	226.978	245.851	230.966	226.176	231.228	231.135	218.532	232.337	233.227
134	223.438	223.438	234.853	228.507	231.272	237.390	231.259	235.798	236.085	239.093	232.235	232.243	234.396	229.829	233.798	229.227	222.555	234.831	222.356
135	219.709	219.709	231.547	220.595	234.914	228.367	236.423	235.924	220.974	234.454	240.490	238.432	232.557	227.165	238.501	220.198	224.973	228.297	230.037
136	224.386	224.386	218.598	226.099	221.162	226.735	239.870	225.219	229.777	234.773	222.671	235.927	238.878	222.183	229.381	220.690	224.044	216.755	226.173
137	213.830	213.830	223.425	225.174	226.419	228.007	235.193	224.650	222.948	226.769	224.862	237.255	242.714	229.308	228.661	224.694	214.483	222.988	223.448
138	209.910	209.910	223.858	232.073	220.912	232.241	229.209	222.612	227.714	222.642	225.698	232.817	233.809	218.796	232.836	218.758	221.902	225.939	221.274
139	214.514	214.514	223.393	224.916	216.172	234.723	234.005	221.724	221.881	227.794	231.009	233.768	237.145	212.926	224.430	222.773	216.266	219.484	207.081
140	213.902	213.902	211.947	225.690	216.173	235.168	226.740	221.832	216.816	218.289	226.347	228.671	226.017	213.343	221.874	222.715	214.367	220.033	219.202
141	214.417	214.417	221.465	222.358	228.096	223.760	225.815	216.723	209.335	231.668	227.175	226.163	227.381	212.530	218.858	220.262	214.082	215.983	222.280
142	229.472	229.472	223.159	222.617	220.429	223.997	224.840	216.911	209.889	234.351	226.004	230.297	223.038	222.619	215.592	219.171	209.935	218.333	217.545
143	217.486	217.486	220.912	217.803	217.768	223.033	229.254	216.725	216.724	227.485	215.481	221.587	219.591	214.541	219.792	217.528	213.770	217.994	212.341
144	218.571	218.571	227.320	222.185	224.195	224.323	228.011	212.919	219.409	219.649	212.781	225.328	223.083	215.048	219.217	211.898	209.612	208.155	211.459
145	220.841	220.841	223.134	220.189	226.045	223.296	213.519	210.273	218.223	217.956	212.123	222.566	221.180	212.339	215.270	208.097	214.219	214.894	211.044
146	215.679	215.679	220.682	213.428	217.020	214.214	218.660	212.621	215.514	217.627	216.839	214.725	209.681	213.438	216.989	217.341	213.583	219.037	213.945
