 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15
180	575.605	651.349	647.334	633.905	587.208	604.315	599.046	585.532	574.661	579.435	559.182	555.300	573.238	564.807	566.911
181	569.109	666.048	661.432	631.877	609.238	608.880	595.606	598.543	584.896	577.186	575.768	571.500	570.426	573.536	569.590
182	579.481	669.165	681.338	636.422	606.633	614.539	600.408	588.258	594.605	581.887	581.753	567.605	574.336	569.944	583.570
183	575.157	671.928	678.904	643.908	617.438	611.423	608.842	606.760	588.040	574.809	581.167	568.978	579.325	576.882	587.021
184	579.170	671.033	674.958	636.595	633.859	627.685	604.464	588.400	593.711	581.351	580.105	575.919	586.407	584.995	579.997
185	576.466	686.252	673.227	649.104	647.140	639.020	609.812	596.148	590.075	591.028	595.425	578.723	587.243	574.729	579.029
186	590.638	673.941	684.798	662.357	652.091	649.372	628.206	612.218	599.010	597.913	593.376	576.527	588.970	574.587	588.260
187	584.894	675.540	668.531	683.615	660.910	648.181	648.962	627.486	608.162	607.339	593.801	585.818	587.516	587.749	587.210
188	587.831	670.722	678.508	683.754	669.141	654.350	665.794	627.138	622.996	617.817	594.251	588.234	589.537	598.643	590.101
189	603.470	685.817	681.067	691.109	658.285	660.901	658.939	634.386	630.203	621.180	612.913	595.432	582.434	605.077	589.365
190	600.616	684.759	680.549	694.439	681.488	669.040	650.481	625.648	653.314	635.048	619.134	604.732	604.263	598.874	598.817
191	600.790	675.400	697.255	712.903	694.684	677.560	664.077	640.215	647.744	649.221	628.185	612.779	602.196	606.818	589.962
192	616.647	659.144	703.947	703.915	692.602	680.313	682.571	646.023	647.128	648.236	625.681	599.215	601.337	592.109	597.145
193	621.442	630.163	684.032	699.110	698.782	690.497	690.579	649.342	672.253	666.695	631.368	634.971	616.258	606.400	603.213
194	613.800	633.400	666.371	699.824	710.167	699.181	688.835	662.027	676.011	659.990	638.783	623.776	624.267	607.873	607.179
195	620.116	631.272	671.524	699.892	715.805	701.303	688.242	678.501	685.140	680.708	669.667	624.832	620.604	613.709	612.548
196	628.404	636.244	646.936	683.930	696.564	702.993	687.113	680.137	694.180	678.787	670.608	636.016	645.451	620.510	607.658
197	628.491	641.856	648.993	682.455	685.162	690.966	685.681	667.089	699.481	696.421	674.747	654.295	660.312	631.993	632.738
198	635.787	642.284	647.041	660.039	675.417	688.026	690.558	677.911	703.836	692.609	684.949	673.866	669.234	636.652	638.051
199	641.860	641.890	640.498	653.473	682.847	691.086	675.908	692.769	721.503	697.028	699.692	692.551	659.254	642.155	641.233
200	648.157	638.247	643.045	643.299	669.016	667.546	666.188	688.658	710.518	702.184	695.273	706.304	674.688	647.550	644.246
201	661.438	634.061	628.492	632.926	652.670	662.000	662.529	692.848	704.583	700.224	695.393	698.133	685.847	663.455	648.674
202	666.482	631.306	636.829	647.499	639.295	666.892	657.287	683.014	698.469	696.141	696.173	697.372	688.164	671.031	653.711
203	680.689	624.125	630.355	623.193	638.803	652.022	651.997	669.656	688.813	679.954	705.377	698.094	678.638	676.454	661.520
204	666.598	626.255	639.599	616.653	652.177	646.807	641.681	674.674	669.566	680.211	685.181	691.968	669.293	670.640	681.538
205	656.948	625.327	637.653	632.159	647.895	641.589	637.643	664.320	681.378	660.421	671.449	679.482	657.204	674.677	674.223
