 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12
198	569.387	569.387	557.427	558.397	536.615	541.369	561.941	554.547	545.181	539.850	523.065	529.654
199	572.716	572.716	557.950	543.301	550.554	554.006	576.839	546.682	525.057	524.787	530.392	520.305
200	574.835	574.835	563.139	549.457	557.338	552.087	569.026	544.802	540.578	525.944	546.328	534.290
201	580.393	580.393	566.024	553.755	548.364	555.716	554.226	545.766	540.735	533.370	550.879	526.298
202	566.450	566.450	565.407	535.123	546.039	547.930	566.789	544.821	539.354	539.769	525.836	527.136
203	557.909	557.909	565.153	548.962	547.295	554.413	570.508	545.247	550.938	546.002	528.290	524.223
204	569.945	569.945	570.074	557.154	566.531	548.580	567.502	562.266	539.697	541.361	540.171	521.974
205	572.748	572.748	560.429	548.179	549.956	543.198	559.734	569.191	537.206	533.358	529.363	522.002
206	573.199	573.199	566.335	553.254	551.394	545.054	557.351	565.330	555.796	544.429	532.058	533.514
207	561.392	561.392	563.888	551.493	557.363	547.512	559.878	551.155	552.684	553.577	541.222	527.969
208	563.129	563.129	560.191	545.456	550.461	541.188	563.956	558.040	551.875	549.739	536.092	535.360
209	563.457	563.457	563.841	557.093	558.642	536.913	560.011	555.532	557.348	549.468	540.248	540.030
210	568.781	568.781	571.988	575.987	554.797	535.359	557.188	551.057	556.484	544.914	531.513	532.855
211	562.202	562.202	567.866	568.986	559.889	544.027	557.585	557.201	551.567	537.683	531.366	533.118
212	573.679	573.679	559.934	552.364	563.162	543.818	579.279	558.545	548.880	547.984	536.856	541.667
213	571.390	571.390	556.667	558.649	566.030	546.333	559.471	546.683	543.732	541.510	535.382	536.582
214	575.133	575.133	559.812	558.741	568.949	549.393	554.178	554.463	545.997	538.288	529.265	540.005
215	567.968	567.968	571.339	561.937	566.170	560.274	544.216	554.268	544.988	552.869	515.905	541.517
216	579.062	579.062	561.693	549.282	562.130	541.763	562.387	563.959	539.708	548.092	535.418	540.647
217	575.190	575.190	553.672	553.318	561.929	543.611	562.564	547.826	554.046	544.173	529.804	547.545
218	574.443	574.443	550.910	555.489	554.961	548.409	547.102	546.482	548.419	551.189	521.575	535.093
219	578.517	578.517	559.039	553.756	550.497	545.933	563.074	555.604	543.756	550.466	533.252	532.535
220	573.867	573.867	554.796	547.353	543.788	545.313	549.757	540.936	539.310	543.309	526.153	525.194
221	571.903	571.903	569.135	544.569	557.939	545.846	545.158	544.076	545.300	541.336	526.402	521.873
222	589.611	589.611	578.215	542.917	552.548	543.153	560.155	548.797	546.556	545.469	533.352	527.067
223	575.467	575.467	576.603	550.423	549.664	550.825	562.015	563.714	549.307	532.706	540.382	530.710
224	580.098	580.098	567.821	559.317	556.268	551.380	571.251	552.135	543.389	539.280	531.687	535.495
225	588.327	588.327	573.434	552.745	543.331	542.536	564.041	550.194	533.178	535.302	532.496	537.809
226	588.202	588.202	576.398	562.710	542.270	546.578	559.646	541.383	552.899	543.449	526.951	531.773
227	596.750	596.750	563.410	573.139	559.888	545.673	568.390	557.652	539.767	550.591	531.872	546.953
228	592.938	592.938	578.003	573.482	548.863	554.385	560.355	547.464	544.052	544.467	534.489	540.864
229	597.841	597.841	564.675	583.647	563.569	549.581	559.956	553.999	549.609	545.163	533.602	537.192
230	579.067	579.067	572.164	573.531	556.782	544.937	564.673	546.186	550.948	546.755	531.859	532.180
231	591.565	591.565	572.608	560.884	558.940	545.569	558.380	555.792	546.640	549.801	530.112	532.818
232	610.289	610.289	571.809	568.599	556.466	535.878	551.774	548.892	541.611	561.555	542.225	528.308
233	590.508	590.508	584.812	569.761	564.830	551.481	562.912	554.967	546.492	540.269	530.843	546.680
234	591.713	591.713	574.594	576.873	559.899	551.657	557.332	561.508	553.072	535.530	528.314	539.159
235	597.267	597.267	573.311	582.114	556.778	544.160	565.851	567.246	549.327	551.367	539.058	549.102
236	594.640	594.640	582.096	571.527	548.801	537.087	565.017	573.361	556.530	552.160	544.253	533.624
237	600.764	600.764	585.600	576.350	544.917	550.064	580.750	570.708	559.500	548.305	541.629	544.763
238	597.537	597.537	588.797	578.077	563.433	561.504	567.182	571.477	551.570	549.346	538.663	545.766
239	605.899	605.899	581.854	584.224	568.768	553.277	563.687	562.948	559.801	560.042	545.051	533.345
240	606.883	606.883	576.884	572.155	562.676	556.326	569.168	567.766	556.078	547.646	551.334	548.059
241	614.947	614.947	583.973	576.395	547.852	567.110	558.217	569.407	565.414	554.253	557.166	540.214
242	624.193	624.193	586.662	578.864	560.328	557.889	558.269	569.589	565.508	562.700	560.911	544.580
243	612.401	612.401	596.844	585.981	559.616	551.709	565.297	577.546	569.083	566.518	562.414	552.878
244	617.976	617.976	611.377	587.325	561.286	555.768	562.091	583.820	568.536	566.805	563.805	553.087
245	615.269	615.269	597.769	585.123	568.333	562.822	557.177	576.750	561.352	553.932	548.584	568.496
246	621.371	621.371	597.420	587.051	564.324	558.573	573.907	568.364	549.967	560.667	564.145	566.717
