 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13
167	512.843	512.843	496.187	500.323	507.292	506.376	533.155	519.032	518.497	531.169	519.939	512.238	512.257
168	501.265	501.265	498.764	490.537	506.538	513.731	511.879	517.080	534.762	513.345	515.620	515.791	512.510
169	499.210	499.210	508.408	504.938	488.695	505.337	520.337	523.691	528.156	527.984	516.172	524.760	527.732
170	511.810	511.810	497.377	492.060	504.888	512.327	499.492	508.476	522.606	516.927	517.496	515.224	510.335
171	507.151	507.151	498.738	492.559	512.294	513.203	508.250	504.662	516.927	525.119	518.642	507.426	516.129
172	498.773	498.773	479.840	495.133	510.519	513.249	521.382	514.859	528.128	518.688	520.793	521.316	513.761
173	498.808	498.808	506.278	486.094	499.621	498.897	509.339	506.432	498.695	527.474	503.735	506.457	514.044
174	502.133	502.133	490.894	499.902	513.712	510.837	523.011	514.818	521.877	523.938	525.235	509.595	509.693
175	506.916	506.916	485.147	505.765	505.600	513.421	515.087	514.039	522.650	509.736	517.111	497.988	509.539
176	506.773	506.773	487.484	483.709	499.674	492.686	502.089	520.687	515.041	526.929	514.426	508.172	505.072
177	511.693	511.693	477.358	496.510	503.680	512.473	507.608	530.155	516.862	508.845	522.394	522.345	521.620
178	502.509	502.509	488.525	484.928	515.992	511.869	518.879	501.058	501.649	525.688	515.448	512.735	514.839
179	502.276	502.276	496.368	480.309	491.372	521.241	523.400	503.169	525.347	533.986	506.060	527.601	496.925
180	500.103	500.103	473.383	491.191	514.624	497.225	496.195	525.047	514.422	512.694	509.470	518.691	505.826
181	509.504	509.504	492.654	492.888	503.552	513.244	506.499	487.923	519.142	519.131	509.620	502.953	496.392
182	486.164	486.164	498.713	485.746	511.936	499.981	521.794	511.216	518.312	518.656	520.543	516.779	507.468
183	500.262	500.262	492.964	488.487	508.979	499.575	507.187	510.150	513.264	518.579	508.420	507.393	517.495
184	504.642	504.642	503.199	501.342	490.172	506.998	493.021	511.763	512.251	515.689	513.290	498.488	516.881
185	493.754	493.754	491.848	487.554	497.073	512.204	502.063	513.322	503.881	520.262	524.857	508.694	506.382
186	499.735	499.735	487.085	491.090	496.726	502.764	512.985	505.237	514.874	512.551	519.437	524.447	515.371
187	499.469	499.469	485.824	472.358	489.118	511.400	506.690	511.514	513.140	512.696	517.079	514.186	508.883
188	496.825	496.825	488.707	486.970	497.013	503.792	518.993	503.158	507.343	512.687	514.516	515.132	497.755
189	485.983	485.983	473.067	493.969	510.654	497.825	506.935	499.028	509.743	514.610	516.250	504.894	494.775
190	491.900	491.900	490.371	487.413	492.561	496.121	494.321	514.286	520.984	518.155	503.699	512.140	513.211
191	497.002	497.002	486.542	496.038	495.395	512.578	499.044	520.140	515.991	520.199	502.972	516.788	497.929
192	492.788	492.788	496.333	502.409	505.684	503.930	510.284	512.287	519.083	507.529	521.567	508.812	511.078
193	489.426	489.426	483.537	489.904	496.132	506.915	506.739	510.628	510.707	516.796	516.658	515.435	519.150
194	496.843	496.843	496.375	501.972	493.821	503.286	500.836	505.731	510.324	519.919	507.709	501.045	503.601
195	487.364	487.364	486.882	486.072	504.321	494.225	502.604	511.007	509.912	521.744	506.584	491.822	505.370
196	494.601	494.601	486.318	487.127	508.414	490.772	504.974	522.446	505.768	505.500	521.474	504.666	508.155
197	515.303	515.303	473.661	493.610	487.491	494.576	490.095	510.488	508.284	514.903	506.675	505.353	496.938
198	505.992	505.992	484.841	503.185	505.082	506.243	511.265	485.197	517.076	529.376	508.845	508.961	501.463
199	502.880	502.880	481.047	474.055	491.976	511.092	502.560	517.083	503.532	509.394	516.825	509.443	513.387
200	496.270	496.270	489.581	484.787	492.474	488.793	510.185	510.581	510.735	506.861	512.951	524.494	508.795
201	498.277	498.277	468.073	488.195	500.152	493.669	510.576	502.144	509.040	520.078	503.855	511.787	501.759
202	490.606	490.606	471.938	471.117	497.388	503.225	519.504	511.282	501.569	499.828	499.181	514.775	497.344
203	491.436	491.436	483.216	493.441	505.887	506.759	516.374	496.047	513.275	500.742	505.776	509.332	503.616
204	494.614	494.614	489.256	490.335	500.216	499.910	506.927	495.930	497.427	501.527	514.679	501.390	498.594
205	506.375	506.375	482.803	482.643	491.443	501.007	505.685	494.953	501.753	508.904	500.710	498.267	491.036
206	493.510	493.510	476.849	481.799	495.893	498.150	503.077	503.327	508.868	510.741	501.462	512.568	511.954
207	500.042	500.042	476.711	488.853	499.354	499.208	507.075	506.808	493.986	501.262	514.122	505.477	503.517
208	485.969	485.969	483.618	492.182	488.805	501.592	502.505	496.864	504.996	507.009	499.928	509.116	502.904
209	491.238	491.238	467.945	484.563	510.926	505.273	504.149	503.018	495.732	515.010	502.377	507.475	511.236
210	493.196	493.196	491.005	490.015	488.371	495.994	513.785	513.812	501.437	506.459	503.943	502.105	514.205
211	478.370	478.370	487.363	493.052	483.069	491.654	502.628	509.150	512.387	497.685	501.642	501.760	511.187
212	499.866	499.866	475.965	489.436	497.303	490.851	509.209	495.130	507.240	514.857	506.410	509.120	492.181
213	497.672	497.672	494.080	488.712	500.882	498.200	515.501	499.828	510.831	512.045	503.583	499.339	506.776
214	503.385	503.385	494.933	483.149	493.074	509.448	500.254	505.306	508.826	504.342	515.268	501.680	503.972
215	508.067	508.067	470.520	482.506	493.577	504.190	509.494	495.032	501.568	510.525	498.376	510.682	499.681
216	484.050	484.050	485.917	484.641	501.785	500.263	500.281	497.554	510.093	503.453	505.115	488.734	491.239
