 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15
178	178.332	175.179	179.377	175.782	173.099	176.221	181.594	179.918	177.975	179.851	174.843	177.373	176.097	178.982	174.826
179	179.560	172.495	179.736	178.952	171.728	174.169	178.543	175.634	175.956	173.291	180.172	176.510	177.801	181.606	173.321
180	179.305	176.037	175.304	175.350	172.806	175.293	177.943	176.191	180.027	172.703	177.199	176.655	176.483	175.731	173.969
181	176.678	170.808	176.138	175.735	173.875	175.558	179.367	177.244	178.670	172.910	174.245	179.941	174.687	173.144	174.242
182	180.182	176.337	174.659	179.115	170.645	174.780	169.412	173.238	173.268	174.154	169.707	174.573	176.713	173.882	177.553
183	173.994	178.503	173.525	179.910	164.673	172.133	175.138	174.871	176.865	174.147	173.414	174.681	173.875	171.773	178.032
184	177.284	180.176	170.864	179.392	164.892	178.944	171.081	173.837	173.472	174.460	169.020	171.801	172.365	175.978	177.012
185	178.035	175.714	178.254	173.387	170.731	179.233	175.245	177.739	176.288	175.078	176.322	179.882	172.813	174.665	173.557
186	178.280	172.723	171.306	173.470	165.487	179.735	178.545	177.238	175.462	177.605	176.789	176.066	172.427	172.645	172.004
187	176.501	173.478	172.224	173.547	167.830	175.516	175.991	173.174	175.915	175.204	177.841	177.076	176.136	171.016	173.073
188	177.043	167.297	177.047	173.600	171.679	177.127	181.546	175.657	174.870	176.464	170.058	176.867	181.220	168.746	174.359
189	176.971	172.645	175.221	170.183	172.065	171.841	177.454	175.093	174.287	175.651	176.038	172.930	178.336	172.080	172.250
190	177.792	172.739	175.237	169.320	170.883	173.350	177.189	175.083	172.181	176.847	177.016	174.617	172.616	172.491	172.642
191	181.521	174.543	172.205	172.784	176.422	175.110	175.612	180.067	175.368	178.308	177.555	174.451	172.656	172.243	173.997
192	174.291	177.781	171.565	173.734	167.489	175.342	171.000	174.049	176.337	179.187	170.876	174.717	171.116	172.949	170.423
193	175.581	179.091	175.207	170.660	164.394	173.871	174.282	177.595	170.565	185.018	174.152	179.403	169.501	173.511	166.726
194	176.453	175.270	177.509	175.806	167.621	173.080	170.977	178.278	169.733	174.818	174.293	173.038	175.128	173.170	171.692
195	172.784	176.430	172.622	173.137	169.316	176.190	172.355	173.710	173.808	171.457	173.231	170.446	170.315	174.333	175.902
196	178.824	176.180	173.040	174.382	168.588	177.653	172.504	178.026	172.906	174.236	176.157	176.256	176.856	169.342	173.383
197	176.547	171.632	172.716	176.401	169.387	169.102	174.455	175.657	174.469	170.711	169.322	174.643	172.913	169.629	170.608
198	175.104	170.345	168.676	174.945	167.128	169.083	172.153	174.810	170.602	171.842	174.149	173.538	176.070	169.359	169.998
199	171.641	169.765	171.166	171.777	172.005	169.111	169.369	172.915	173.090	169.752	176.965	173.285	174.163	168.626	175.306
200	171.909	175.359	175.115	170.322	171.557	172.710	173.039	167.940	169.852	167.796	173.442	169.474	176.257	167.249	171.333
201	177.591	174.131	170.984	172.785	166.816	174.756	175.531	172.953	175.004	174.172	171.504	169.324	177.425	170.042	169.036
202	178.211	177.985	176.383	171.833	167.732	174.487	172.726	174.840	176.418	172.633	174.064	171.603	173.002	169.205	170.090
203	178.014	174.742	175.288	174.097	172.065	174.598	169.482	172.833	173.990	176.571	173.615	173.606	174.941	170.922	170.424
204	175.532	169.350	171.642	173.548	164.252	176.416	173.438	170.993	175.305	172.759	174.349	173.373	174.225	169.176	170.358
205	176.906	176.532	170.777	171.874	172.140	172.681	172.931	173.742	172.987	170.887	166.904	171.460	176.877	173.265	174.664
206	179.773	170.533	169.778	172.406	167.495	170.815	170.604	174.306	174.362	173.557	172.960	171.701	179.119	169.364	174.137
207	172.426	169.246	167.324	170.902	168.728	169.044	170.804	174.860	169.396	176.442	173.539	175.255	176.862	171.610	173.560
208	176.114	178.821	171.755	174.540	169.884	171.162	170.449	177.431	180.220	168.473	177.207	172.562	174.382	169.174	171.516
209	179.391	174.581	168.657	174.300	167.044	174.475	174.342	172.583	174.315	176.385	173.590	172.939	176.786	171.862	169.783
210	176.910	171.414	162.343	168.766	165.241	173.103	168.327	173.208	170.717	169.782	174.604	180.512	179.124	169.139	175.535
211	173.272	175.712	166.463	170.225	169.057	173.489	171.762	172.171	171.464	173.910	174.244	173.970	171.607	167.973	170.169
212	172.189	175.036	172.586	172.280	169.642	175.029	172.737	169.987	174.800	173.331	177.146	178.507	169.320	166.804	168.264
213	178.186	175.768	173.799	173.349	171.472	174.857	169.217	173.377	172.249	174.774	168.099	174.457	179.643	169.023	175.074
