 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9
312	161.879	161.879	166.343	166.007	163.377	164.151	169.201	170.515	165.792
313	160.077	160.077	167.426	168.491	165.179	165.283	165.847	163.247	166.549
314	158.577	158.577	164.041	167.066	166.285	166.774	164.766	165.450	162.818
315	164.099	164.099	161.484	165.152	163.926	166.338	161.873	166.665	166.956
316	164.802	164.802	159.643	168.662	167.083	166.355	164.527	166.128	167.498
317	162.487	162.487	163.877	163.558	162.164	164.447	162.095	169.539	167.451
318	163.388	163.388	165.568	163.879	166.974	164.054	168.470	168.262	166.096
319	165.644	165.644	166.675	159.517	168.688	167.364	164.888	166.861	166.743
320	159.876	159.876	163.345	166.203	166.205	165.843	165.608	160.829	167.642
321	158.114	158.114	163.148	160.556	166.890	168.458	169.093	164.503	167.444
322	165.404	165.404	165.079	166.182	167.259	165.128	164.845	166.037	165.820
323	165.378	165.378	165.664	168.322	159.660	166.764	167.776	164.912	162.526
324	161.592	161.592	166.467	165.587	166.296	167.749	169.171	167.454	168.548
325	162.626	162.626	167.999	167.216	170.574	165.346	164.873	164.271	161.888
326	166.724	166.724	163.760	164.932	170.462	166.856	162.325	164.784	165.725
327	162.799	162.799	162.464	166.084	166.618	170.789	166.444	164.734	166.371
328	159.225	159.225	165.589	163.972	169.547	164.895	167.795	159.622	162.103
329	160.221	160.221	167.593	163.658	164.259	161.608	161.322	163.567	162.817
330	164.345	164.345	161.599	165.076	159.192	161.546	167.316	166.547	167.213
