,CellName,CompNum,substrate & drug,SurroundingThickness,EChadwick
857,21-01-21_M2_P1_C3-1,20,20um fibronectin discs & doxycyclin,149.98065742361499,29155.0349549252
856,21-01-21_M2_P1_C3-1,19,20um fibronectin discs & doxycyclin,144.768420413279,31779.481654451498
855,21-01-21_M2_P1_C3-1,18,20um fibronectin discs & doxycyclin,203.320376995186,5870.52111528088
854,21-01-21_M2_P1_C3-1,17,20um fibronectin discs & doxycyclin,182.47114595591998,16710.2228752839
852,21-01-21_M2_P1_C3-1,15,20um fibronectin discs & doxycyclin,184.127419786871,14700.2685226028
853,21-01-21_M2_P1_C3-1,16,20um fibronectin discs & doxycyclin,185.110671051058,15373.6786172426
850,21-01-21_M2_P1_C3-1,13,20um fibronectin discs & doxycyclin,160.880113535521,30420.4836325603
849,21-01-21_M2_P1_C3-1,12,20um fibronectin discs & doxycyclin,165.373935239198,32333.782854318302
851,21-01-21_M2_P1_C3-1,14,20um fibronectin discs & doxycyclin,171.303823616304,14582.069260325301
874,21-01-21_M2_P1_C3-2,15,20um fibronectin discs & doxycyclin,450.482447911518,70868.3064150713
618,21-01-21_M1_P1_C1,5,20um fibronectin discs & none,1274.71742450227,548.257568914216
621,21-01-21_M1_P1_C1,8,20um fibronectin discs & none,1176.3977173481699,622.798335268796
623,21-01-21_M1_P1_C7,2,20um fibronectin discs & none,229.214351124514,6741.6814371724595
624,21-01-21_M1_P1_C7,3,20um fibronectin discs & none,197.174419200149,3787.8171875836797
625,21-01-21_M1_P1_C7,4,20um fibronectin discs & none,159.382653142839,4734.12063839096
620,21-01-21_M1_P1_C1,7,20um fibronectin discs & none,1186.65518384925,564.7015200503799
626,21-01-21_M1_P1_C7,5,20um fibronectin discs & none,218.38550480367698,4884.75199912976
628,21-01-21_M1_P1_C7,7,20um fibronectin discs & none,166.538212519283,17684.9725714915
619,21-01-21_M1_P1_C1,6,20um fibronectin discs & none,1383.0525400557501,633.357339131112
655,21-01-21_M1_P1_C11,5,20um fibronectin discs & none,315.366386705336,4683.86922851534
616,21-01-21_M1_P1_C1,3,20um fibronectin discs & none,1311.18044160462,415.6183868696
615,21-01-21_M1_P1_C1,2,20um fibronectin discs & none,1308.83802344344,608.008706248283
629,21-01-21_M1_P1_C7,8,20um fibronectin discs & none,158.489105446212,12658.705655034399
614,21-01-21_M1_P1_C1,1,20um fibronectin discs & none,1272.38979222263,781.47664063867
953,21-01-21_M3_P1_C1,10,20um fibronectin discs & none,252.334022761214,1772.20435527149
954,21-01-21_M3_P1_C1,11,20um fibronectin discs & none,165.47970294869302,4865.12547072605
955,21-01-21_M3_P1_C1,12,20um fibronectin discs & none,139.977411827052,4852.013853726729
956,21-01-21_M3_P1_C1,13,20um fibronectin discs & none,209.131710250575,7350.9180753415085
957,21-01-21_M3_P1_C2,1,20um fibronectin discs & none,240.103846534431,10505.9681197885
617,21-01-21_M1_P1_C1,4,20um fibronectin discs & none,1178.16809177387,542.501981498131
630,21-01-21_M1_P1_C7,9,20um fibronectin discs & none,215.291324859337,8261.331984479599
637,21-01-21_M1_P1_C14,6,20um fibronectin discs & none,102.80140312573201,8295.671522351291
632,21-01-21_M1_P1_C14,1,20um fibronectin discs & none,134.543056787878,4654.105354851779
656,21-01-21_M1_P1_C11,6,20um fibronectin discs & none,311.327049471935,4685.35558765524
657,21-01-21_M1_P1_C11,7,20um fibronectin discs & none,304.708457045592,8601.98183242297
653,21-01-21_M1_P1_C11,3,20um fibronectin discs & none,308.676229950681,4800.84075825745
958,21-01-21_M3_P1_C2,2,20um fibronectin discs & none,240.391196139965,8754.17517324557
652,21-01-21_M1_P1_C11,2,20um fibronectin discs & none,336.61158916017,4869.3881159925795
651,21-01-21_M1_P1_C11,1,20um fibronectin discs & none,324.36767663308,4985.86931715201
647,21-01-21_M1_P1_C10,6,20um fibronectin discs & none,326.569000633332,6067.21155841141
