 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15
158	960.282	964.591	952.599	924.514	922.531	956.188	989.781	1001.246	1000.891	989.646	1008.719	1013.745	1000.548	996.765	1002.646
159	957.316	955.018	958.638	917.864	922.014	959.699	982.068	979.107	965.714	978.496	984.400	991.191	988.866	975.621	991.799
160	935.451	951.568	919.334	881.168	873.713	954.262	959.564	971.446	967.520	962.775	984.383	983.559	969.328	979.278	970.532
161	937.397	932.045	910.081	897.056	871.609	941.136	958.902	956.614	964.211	970.324	991.086	960.852	952.338	976.895	976.228
162	908.333	894.494	917.606	888.878	875.040	938.821	940.125	947.939	959.220	960.299	974.329	958.860	956.557	971.467	960.360
163	919.229	931.086	910.849	890.900	874.538	938.387	944.165	935.769	930.802	932.516	957.799	942.055	943.656	958.203	933.288
164	902.533	924.896	883.750	869.888	860.355	911.755	948.917	921.948	932.894	942.863	943.048	938.114	939.775	933.928	944.696
165	900.215	909.341	890.569	863.796	847.417	905.212	946.533	920.227	903.979	919.750	935.646	933.163	936.611	935.147	941.903
166	896.562	903.782	878.569	846.922	866.469	910.305	916.419	894.850	904.053	889.962	915.180	901.643	923.486	911.156	929.549
167	886.953	900.921	861.577	832.215	883.948	891.418	911.748	903.163	903.643	891.668	909.006	884.639	893.251	927.600	936.695
168	880.252	872.842	877.741	867.534	869.596	888.374	896.371	888.162	913.844	884.820	918.774	914.405	886.831	908.209	917.443
169	864.722	858.501	878.553	863.001	845.267	881.382	901.537	908.925	874.084	890.057	920.028	892.887	887.253	907.007	906.000
170	863.786	862.394	884.419	855.619	861.908	882.489	908.852	885.005	891.998	889.526	912.721	892.697	897.192	923.057	889.707
171	859.462	845.783	875.108	845.914	856.960	878.406	890.198	897.954	865.608	864.209	892.516	893.993	886.435	905.722	898.299
172	256.278	266.785	275.219	261.946	258.180	272.370	260.756	244.838	256.470	257.023	254.878	265.357	265.203	263.033	267.940
173	254.692	268.772	270.607	262.074	254.944	265.129	255.732	249.061	254.429	250.987	249.092	272.689	262.128	265.712	272.667
174	259.461	271.048	265.086	258.675	261.503	259.691	263.491	254.966	260.792	260.195	246.435	275.350	264.151	273.119	263.604
175	265.711	270.061	269.511	262.363	267.988	260.837	257.512	254.382	256.896	263.036	251.763	268.273	273.888	273.455	267.819
176	251.206	272.128	269.318	250.942	260.956	257.228	255.540	259.788	253.799	255.395	253.963	270.375	268.676	274.622	267.565
177	251.434	266.362	267.099	254.754	255.038	250.300	258.312	251.029	250.435	250.676	255.236	273.943	262.515	270.212	259.597
178	244.320	260.382	252.811	249.927	254.939	262.706	254.349	257.227	253.085	255.598	248.025	274.848	263.086	258.725	264.678
179	250.930	268.597	250.752	251.896	262.390	262.183	259.545	254.663	254.213	249.704	243.148	268.777	271.752	260.430	268.218
180	252.476	258.698	252.455	252.463	257.656	257.046	257.683	253.809	252.605	254.177	248.262	268.470	260.877	260.538	260.728
181	241.272	258.644	256.484	242.494	251.133	258.944	243.842	244.840	250.574	256.410	233.891	256.787	263.970	252.891	248.199
182	244.853	253.556	252.699	251.382	248.897	254.253	249.341	248.158	255.454	251.591	243.350	260.698	263.907	255.417	260.175
183	250.123	265.181	260.047	250.354	245.950	249.357	249.340	243.901	250.150	254.471	234.985	266.378	249.314	261.541	250.923
184	243.903	260.230	254.838	257.421	251.261	251.380	253.789	248.578	242.078	257.596	243.137	261.908	254.778	254.709	244.553
185	238.038	248.618	254.404	252.515	248.615	251.962	249.969	240.746	245.954	253.586	242.112	262.986	252.009	256.223	250.985
186	243.506	250.069	245.949	242.206	247.855	249.649	243.937	250.042	238.243	251.937	238.936	258.617	255.920	255.045	251.407
187	242.168	256.883	252.563	249.749	247.073	246.928	246.506	243.699	237.991	248.371	242.253	260.256	259.360	255.640	250.519
188	240.155	254.680	243.002	253.433	248.180	251.934	241.060	243.952	242.411	249.275	244.315	256.273	256.381	259.183	252.729
