 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15	Profile_Slice_16	Profile_Slice_17
121	308.476	308.476	301.175	288.487	294.044	300.071	289.912	293.231	299.739	297.664	299.945	319.822	310.101	304.288	303.668	294.032	310.666
122	299.488	299.488	308.924	287.659	294.404	302.398	283.822	299.093	293.683	298.720	308.613	303.122	317.824	305.362	308.681	301.299	306.542
123	298.027	298.027	300.605	290.232	288.854	304.574	292.208	290.125	307.024	287.284	296.855	304.653	313.715	300.627	291.295	303.534	295.674
124	296.447	296.447	284.847	285.720	289.604	301.744	282.279	277.034	299.561	289.302	286.400	296.904	295.458	292.634	291.441	298.426	294.391
125	286.880	286.880	291.402	293.360	297.205	285.182	281.203	278.639	287.484	296.609	289.543	296.715	299.504	302.006	288.037	295.998	292.937
126	288.419	288.419	292.766	286.059	283.826	282.950	282.263	277.602	290.290	286.789	297.248	294.265	293.802	305.207	290.233	289.684	298.300
127	292.799	292.799	287.558	276.624	289.117	285.446	280.110	269.657	288.393	292.480	288.545	301.909	294.572	291.865	285.792	283.474	299.694
128	289.898	289.898	281.353	280.211	290.335	286.399	285.495	278.228	289.418	298.394	285.245	293.228	293.017	293.604	287.560	285.933	297.782
129	284.479	284.479	290.484	277.274	286.866	280.632	282.459	286.251	281.349	284.977	284.163	275.459	291.083	293.469	290.843	284.977	290.593
130	285.658	285.658	287.317	273.884	276.116	285.122	283.690	272.743	282.616	286.390	284.813	277.730	290.183	292.070	282.713	284.874	290.047
131	291.066	291.066	275.491	272.680	271.767	285.944	282.599	270.725	279.519	292.317	285.711	279.639	281.524	284.698	279.775	277.530	286.512
132	281.844	281.844	274.379	268.860	273.471	280.484	274.535	275.628	274.484	288.326	278.950	277.328	275.327	288.349	277.518	287.564	286.887
133	279.346	279.346	273.736	268.394	271.152	276.588	280.915	267.494	273.649	268.490	275.491	286.528	282.553	284.071	290.643	284.584	281.687
134	263.466	263.466	282.471	271.875	268.296	279.135	273.456	264.212	273.702	268.164	284.084	274.098	293.337	284.245	286.345	285.146	275.046
135	273.221	273.221	273.652	275.389	271.932	269.901	263.969	261.759	276.845	267.036	275.787	277.133	290.181	285.392	266.975	272.894	283.583
136	279.034	279.034	264.788	269.535	268.384	265.115	267.391	267.524	275.335	268.575	280.964	281.780	291.744	277.881	268.308	276.760	274.958
