;ExpType;ExpDay;CellID;CellName;CompNum;TpsComp;MaxIndent;MinThickness;Hysteresis;CompTime;InitialThickness;SurroundingThickness;PreviousThickness;H0Chadwick;EChadwick;CiEChadwick;R2Chadwick;FitParams;Validated;Comments;manipID;date;manip;experimentType;drug;substrate;objective magnification;scale pixel per um;objective immersion;optical index correction;magnetic field correction;cell type;cell subtype;bead type;bead diameter;normal field;ramp field;compression duration;with fluo images;bacteria;comments;cellID;meanFluoPeakAmplitude
42;3T3aSFL_BSA_nodrugs;20-08-05;M2_P1_C3;20-08-05_M2_P1_C3;8;1s;;;;;;;;;;;;Strain100-R20.9;0;Couldn't be fitted;20-08-05_M2;20-08-05;M2;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
43;3T3aSFL_BSA_nodrugs;20-08-05;M2_P1_C3;20-08-05_M2_P1_C3;9;1s;;;;;;;;;;;;Strain100-R20.9;0;Couldn't be fitted;20-08-05_M2;20-08-05;M2;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
44;3T3aSFL_BSA_nodrugs;20-08-05;M2_P1_C3;20-08-05_M2_P1_C3;10;1s;73.7896466268348;-49.6450800602215;0.7246625749563069;5.59245945945946;24.144566566613303;-112.299405988972;;57.9327054456015;2388.87124893682;263.56338362617;0.950731676878674;Strain100-R20.9;1;Succes!;20-08-05_M2;20-08-05;M2;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
45;3T3aSFL_BSA_nodrugs;20-08-05;M2_P1_C4;20-08-05_M2_P1_C4;1;1s;;;;;;;;;;;;Strain100-R20.9;0;Couldn't be fitted;20-08-05_M2;20-08-05;M2;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
46;3T3aSFL_BSA_nodrugs;20-08-05;M2_P1_C4;20-08-05_M2_P1_C4;2;1s;;;;;;;;;;;;Strain100-R20.9;0;Couldn't be fitted;20-08-05_M2;20-08-05;M2;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
47;3T3aSFL_BSA_nodrugs;20-08-05;M2_P1_C4;20-08-05_M2_P1_C4;3;1s;;;;;;;;;;;;Strain100-R20.9;0;Couldn't be fitted;20-08-05_M2;20-08-05;M2;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
48;3T3aSFL_BSA_nodrugs;20-08-05;M2_P1_C4;20-08-05_M2_P1_C4;4;1s;;;;;;;;;;;;Strain100-R20.9;0;Couldn't be fitted;20-08-05_M2;20-08-05;M2;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
49;3T3aSFL_BSA_nodrugs;20-08-05;M2_P1_C4;20-08-05_M2_P1_C4;5;1s;;;;;;;;;;;;Strain100-R20.9;0;Couldn't be fitted;20-08-05_M2;20-08-05;M2;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
50;3T3aSFL_BSA_nodrugs;20-08-05;M2_P1_C4;20-08-05_M2_P1_C4;6;1s;;;;;;;;;;;;Strain100-R20.9;0;Couldn't be fitted;20-08-05_M2;20-08-05;M2;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
51;3T3aSFL_BSA_nodrugs;20-08-05;M2_P1_C5;20-08-05_M2_P1_C5;1;1s;66.60390411249699;-28.860097598371897;0.47540822557370094;20.3485945945946;37.743806514125;2.76327192171448;2.76327192171448;82.78397428297191;3288.69985697146;325.497351516577;0.984089815142729;Strain100-R20.9;1;Succes!;20-08-05_M2;20-08-05;M2;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
52;3T3aSFL_BSA_nodrugs;20-08-05;M2_P1_C5;20-08-05_M2_P1_C5;2;1s;81.9788273987784;-28.656519734505896;0.527753785043526;34.7595135135135;53.32230766427261;14.518572658868802;14.518572658868802;105.95370484365601;2936.55343196921;231.771890885358;0.990913912730602;Strain100-R20.9;1;Succes!;20-08-05_M2;20-08-05;M2;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
53;3T3aSFL_BSA_nodrugs;20-08-05;M2_P1_C5;20-08-05_M2_P1_C5;3;1s;61.876491668177394;-47.3531244523491;0.40447964966082794;49.1325263157895;14.523367215828301;5.849798169473621;5.849798169473621;43.616393089384395;2768.2234349234996;145.351168439517;0.9840643734481491;Strain100-R20.9;1;Succes!;20-08-05_M2;20-08-05;M2;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
54;3T3aSFL_BSA_nodrugs;20-08-05;M2_P1_C5;20-08-05_M2_P1_C5;4;1s;102.492952989559;-50.0735387131819;0.613003057149555;63.55443243243239;52.4194142763772;-18.5132463286773;-18.5132463286773;118.42607443413601;2137.8843000124302;171.80887983093;0.988171269102068;Strain100-R20.9;1;Succes!;20-08-05_M2;20-08-05;M2;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
55;3T3aSFL_BSA_nodrugs;20-08-05;M2_P1_C5;20-08-05_M2_P1_C5;5;1s;70.26951367854079;-10.2155640713875;0.5032627085946421;77.9251842105263;60.0539496071533;6.07261664125872;6.07261664125872;107.290588617479;4346.84601072472;406.895584877839;0.9900257395728879;Strain100-R20.9;1;Succes!;20-08-05_M2;20-08-05;M2;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
56;3T3aSFL_BSA_nodrugs;20-08-05;M2_P1_C5;20-08-05_M2_P1_C5;6;1s;107.00733340729401;12.624265404062;0.68958304068096;92.34200000000001;119.63159881135599;51.9060345777798;51.9060345777798;177.51674721900298;3073.32883222698;399.052111263341;0.985267273556617;Strain100-R20.9;1;Succes!;20-08-05_M2;20-08-05;M2;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
57;3T3aSFL_BSA_nodrugs;20-08-05;M2_P1_C5;20-08-05_M2_P1_C5;7;1s;100.701971042913;-16.7256230474688;0.6343009416614871;106.777837837838;83.9763479954445;53.016455527365;53.016455527365;163.010090955251;2600.52178853632;151.36423661234;0.995835186685783;Strain100-R20.9;1;Succes!;20-08-05_M2;20-08-05;M2;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
