ExpType,ExpDay,CellID,CellName,CompNum,TpsComp,MaxIndent,MinThickness,Hysteresis,CompTime,InitialThickness,SurroundingThickness,PreviousThickness,H0Chadwick,EChadwick,CiEChadwick,R2Chadwick,FitParams,Validated,Comments
DictyDB_M450,20-10-22,M1_P1_C6,20-10-22_M1_P1_C6,7,12s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Strain100-R20.9,0,Couldn't be fitted
DictyDB_M450,20-10-22,M1_P1_C7,20-10-22_M1_P1_C7,1,12s,165.41686641769,126.212450175706,0.183862215689691,10.450131147541,291.629316593397,261.797967827556,287.649493864991,231.857391355332,7711.39157360611,3608.87389751908,0.886692413672536,Strain100-R20.9,0,Bad R2 on fit 
DictyDB_M450,20-10-22,M1_P1_C7,20-10-22_M1_P1_C7,2,12s,133.687622762556,106.763230802397,0.768600530121121,44.420131147541,240.450853564953,221.177786701227,235.342146015185,289.806819473299,3662.48966106161,485.274061102969,0.982908267163428,Strain100-R20.9,1,Succes!
DictyDB_M450,20-10-22,M1_P1_C7,20-10-22_M1_P1_C7,3,12s,169.483456788309,142.670501120341,0.484181039199491,77.9611147540983,312.153957908649,256.773859046108,237.907733042113,249.610005666389,8597.05304928056,2700.907875295,0.938307634084454,Strain100-R20.9,1,Succes!
DictyDB_M450,20-10-22,M1_P1_C7,20-10-22_M1_P1_C7,4,12s,148.519585096764,123.478252287057,0.79141791069829,111.736568965517,271.99783738382,194.134810252453,257.181238737313,389.870933240712,2058.28239692204,1094.46167073681,0.763671340245651,Strain100-R20.9,0,Has large jumps & Bad R2 on fit 
DictyDB_M450,20-10-22,M1_P1_C7,20-10-22_M1_P1_C7,5,12s,35.1257451188898,95.4576215813319,-0.411797482369903,144.947704918033,130.583366700222,138.817277569678,151.594965125546,142.453998563267,23519.2679151528,12052.8538605052,0.834523337448839,Strain100-R20.9,0,Bad R2 on fit 
DictyDB_M450,20-10-22,M1_P2_C1,20-10-22_M1_P2_C1,1,12s,24.3915012286291,155.414131304243,0.408766110622083,10.3047540983607,179.805632532873,186.681337336182,172.535587317318,200.355459754665,37736.6514520581,22195.5833163081,0.766090210420479,Strain100-R20.9,0,Has large jumps & Bad R2 on fit 
DictyDB_M450,20-10-22,M1_P2_C1,20-10-22_M1_P2_C1,2,12s,59.7406618262818,115.595571518899,-1.07322153384907,44.5409180327869,175.336233345181,240.239029462442,204.470636343724,227.817745232061,7324.09729137211,7255.71705787108,0.406159103008334,Strain100-R20.9,0,Has large jumps & Bad R2 on fit 
DictyDB_M450,20-10-22,M1_P2_C1,20-10-22_M1_P2_C1,3,12s,169.371148891441,119.46120753993,0.228816480193743,78.1159016393443,288.83235643137,195.715490295333,236.591140015888,286.469593446383,4661.78499819433,1450.0612340253,0.897621519713443,Strain100-R20.9,0,Has large jumps & Bad R2 on fit 
DictyDB_M450,20-10-22,M1_P2_C1,20-10-22_M1_P2_C1,4,12s,129.959713380981,114.804808203766,0.740936841432448,111.652770491803,244.764521584748,190.529049501632,186.321059903416,335.7192789025,2737.43542971805,486.663561302381,0.972317356261388,Strain100-R20.9,1,Succes!
DictyDB_M450,20-10-22,M1_P2_C1,20-10-22_M1_P2_C1,5,12s,66.4190511666459,117.517031369982,0.749736230097254,145.219885245902,183.936082536628,169.859903315768,176.769047572323,198.051263299966,13159.2913722368,2561.64982910897,0.972498643818374,Strain100-R20.9,1,Succes!
DictyDB_M450,20-10-22,M1_P2_C1,20-10-22_M1_P2_C1,6,12s,141.880888167565,115.521791764739,-1.06784025207876,178.798770491803,257.402679932305,303.052054197173,228.939816844144,232.8854030079,7067.46152663964,2304.86497588456,0.939427135325533,Strain100-R20.9,1,Succes!
DictyDB_M450,20-10-22,M1_P2_C3,20-10-22_M1_P2_C3,1,12s,160.971067830424,147.918793404866,0.628853712106085,10.4559016393443,308.88986123529,369.207955084648,389.266802058623,391.924428575985,2386.85736527953,931.109336526664,0.880644662997531,Strain100-R20.9,0,Bad R2 on fit 
DictyDB_M450,20-10-22,M1_P2_C3,20-10-22_M1_P2_C3,2,12s,235.795393281308,69.9767732786363,0.833674565807253,44.2919344262295,305.772166559945,278.003244310975,321.208429285166,422.139915430798,1256.92508826808,427.854193348423,0.880567390261198,Strain100-R20.9,0,Has large jumps & Bad R2 on fit 
DictyDB_M450,20-10-22,M1_P2_C3,20-10-22_M1_P2_C3,3,12s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Strain100-R20.9,0,Couldn't be fitted
DictyDB_M450,20-10-22,M1_P2_C3,20-10-22_M1_P2_C3,4,12s,546.847272793232,149.446299455384,0.74148966757129,111.041606557377,696.293572248616,470.820071296792,562.624924545656,508.642686792172,1409.50869839442,932.091785042326,0.763744459181563,Strain100-R20.9,0,Has large jumps & Bad R2 on fit 
DictyDB_M450,20-10-22,M1_P2_C3,20-10-22_M1_P2_C3,5,12s,357.084592226754,136.837359294417,0.694504921395184,144.418852459016,493.921951521172,453.905829266587,404.173940321239,456.81184554859,1747.56690142651,303.744150784237,0.974030696851581,Strain100-R20.9,1,Succes!
