;idxCompression;T;Tabs;B;F;dx;dy;dz;D2;D3
609;4;43.072999999989406;70143.942;23.84;0.0;4.602695482167752;-1.6625210130685417;0.148;4.893749260072678;4.895986705502976
610;4;43.086999999999534;70143.956;22.951;0.0;4.60094220176005;-1.66103548077105;0.138;4.89159565094223;4.893541867841424
611;4;43.10299999998824;70143.972;22.071;0.0;4.601179616253122;-1.6648732048215005;0.138;4.893123404243536;4.895069013727574
612;4;43.11699999999837;70143.986;21.296;0.0;4.597418137481135;-1.669845846319416;0.146;4.891281905728877;4.893460399483244
613;4;43.13299999998708;70144.002;20.472;0.0;4.596318907283103;-1.6738993190662024;0.152;4.891634330959177;4.893995344074046
614;4;43.14800000000105;70144.017;19.641;0.0;4.595331812152052;-1.67866316726881;0.162;4.892339368126624;4.895020785749701
615;4;43.163000000000466;70144.032;18.849;0.0;4.59498062189565;-1.6807665308837096;0.164;4.892731654907655;4.895479450159646
616;4;43.17699999999604;70144.046;18.127;0.0;4.594224632162677;-1.6894055009688231;0.174;4.894996518637578;4.898088087965958
617;4;43.1929999999993;70144.062;17.365;0.0;4.590090402144493;-1.6950637932872414;0.16;4.893073794985349;4.895689038651487
618;4;43.20699999999488;70144.076;16.626;0.0;4.591039848358862;-1.6992511625129243;0.164;4.895416366614844;4.8981626557843585
619;4;43.22299999999814;70144.092;15.892;0.0;4.591335543546204;-1.7053397139015136;0.164;4.8978102875918355;4.900555235199418
620;4;43.236999999993714;70144.106;15.243;0.0;4.588907143300856;-1.7110137153940201;0.172;4.897513318420285;4.900532695952968
621;4;43.25299999999697;70144.122;14.561;0.0;4.586986890681632;-1.7164718920563768;0.172;4.897624372234435;4.900643681344802
622;4;43.26699999999255;70144.136;13.92;0.0;4.59201666092912;-1.7220656260924043;0.17;4.904296793100888;4.907242304474036
623;4;43.28299999999581;70144.152;13.234;0.0;4.587200629661724;-1.7254385159161767;0.174;4.900974157142224;4.904061958109414
624;4;43.296999999991385;70144.166;12.687;0.0;4.583905923416054;-1.732178004413079;0.154;4.900268783822094;4.902688053884447
625;4;43.312999999994645;70144.182;12.107;0.0;4.58292897419032;-1.7405348117052608;0.154;4.902315719456572;4.904733979863843
626;4;43.32699999999022;70144.196;11.49;0.0;4.581143319134276;-1.7484082594496213;0.158;4.903448332771568;4.905993227895883
627;4;43.34199999998964;70144.211;10.926;0.0;4.578070040942847;-1.753316613853761;0.16;4.902330511929409;4.9049408200501325
628;4;43.3579999999929;70144.227;10.431;0.0;4.578063459712816;-1.7602241986962082;0.168;4.904799106062692;4.90767544473281
629;4;43.371999999988475;70144.241;9.932;0.0;4.574316316775834;-1.7660886992355456;0.172;4.903410961717275;4.906426709886649
630;4;43.387999999991735;70144.257;9.364;0.0;4.575375483343157;-1.7722081105476948;0.178;4.906605996069855;4.909833642871075
631;4;43.40199999998731;70144.271;8.897;0.0;4.569284113401957;-1.7835806003788195;0.162;4.90505015948208;4.907724632356137
632;4;43.41799999999057;70144.287;8.48;0.0;4.565170883684094;-1.7912013429614688;0.168;4.903997088933065;4.906873897734073
633;4;43.43299999998999;70144.302;8.029;0.0;4.564525562939533;-1.796819865259524;0.174;4.905451583995068;4.908536568359221
634;4;43.447999999989406;70144.317;7.595;0.0;4.564501709890596;-1.8037720245317874;0.176;4.907980172747;4.9111348358681495
635;4;43.462999999988824;70144.332;7.169;0.0;4.562673949954321;-1.809744875042577;0.176;4.908479406734293;4.911633749205516
636;4;43.47699999999895;70144.346;6.841;0.0;4.562670964479694;-1.8115600305080912;0.178;4.909146165499713;4.912372143297018
637;4;43.49299999998766;70144.362;6.483;0.0;4.563057984491574;-1.8182105044191474;0.18;4.911963722200362;4.915260685682137
638;4;43.50699999999779;70144.376;6.098;0.0;4.5620415437796575;-1.8258519136833085;0.182;4.913853707414628;4.91722302299504
639;4;43.52300000000105;70144.392;5.721;0.0;4.55951819196768;-1.8317784108862714;0.216;4.9137173595429005;4.91846259409109
640;4;43.536999999996624;70144.406;5.473;0.0;4.560065163473518;-1.8382100355458797;0.214;4.916625919256655;4.921280974492957
641;4;43.552999999999884;70144.422;5.185;0.0;4.553236618012882;-1.8473503406353802;0.246;4.913722314158488;4.91987631761806
642;4;43.56699999999546;70144.436;4.84;0.0;4.551918630710717;-1.8525039649720774;0.252;4.914441388484413;4.920898105107298
643;4;43.58299999999872;70144.452;4.609;0.0;4.55237568296178;-1.8568372473235197;0.25;4.916499661534588;4.922851706264339
644;4;43.596999999994296;70144.466;4.418;0.0;4.549281617209208;-1.8639781902050752;0.258;4.916337857210163;4.923102875853583
645;4;43.612999999997555;70144.482;4.207;0.0;4.547478669922912;-1.8689915888018211;0.26;4.916573177774923;4.9234430851199855
