;cell type;cell subtype;bead type;drug;substrate;compNum;EChadwick;H0Chadwick;surroundingThickness;ctFieldThickness
295;3T3;aSFL;M450;none;20um fibronectin discs;3;5941.985808755545;351.08112360013644;268.5058036088103;268.730478702465
296;3T3;aSFL;M450;none;20um fibronectin discs;4;7182.11788769514;338.3004218689929;262.81756786942515;268.730478702465
297;3T3;aSFL;M450;none;20um fibronectin discs;5;6556.768682552795;334.3649140434536;271.9233032134298;268.730478702465
298;3T3;aSFL;M450;none;20um fibronectin discs;6;6843.386743731138;321.354962244083;279.5338236657599;268.730478702465
299;3T3;aSFL;M450;none;20um fibronectin discs;7;5119.538838411372;334.5886499847595;280.26181462570503;268.730478702465
300;3T3;aSFL;M450;none;20um fibronectin discs;8;5465.31672543267;341.0748991645676;275.20408684931;268.730478702465
301;3T3;aSFL;M450;none;20um fibronectin discs;11;9228.262410722937;287.3165931374899;266.7658438875801;268.730478702465
302;3T3;aSFL;M450;none;20um fibronectin discs;1;4636.9450553870265;432.1124981539814;356.09365708803034;249.6211855931201
303;3T3;aSFL;M450;none;20um fibronectin discs;2;3774.166735398352;458.56372530899085;371.5399515889353;249.6211855931201
304;3T3;aSFL;M450;none;20um fibronectin discs;3;3979.453316562209;448.1485220773212;359.56234905282963;249.6211855931201
305;3T3;aSFL;M450;none;20um fibronectin discs;4;4653.033479493252;393.3074228420853;318.2747333358602;249.6211855931201
306;3T3;aSFL;M450;none;20um fibronectin discs;5;7515.320035985217;309.6487029402027;262.7499395752652;249.6211855931201
307;3T3;aSFL;M450;none;20um fibronectin discs;6;7583.237591661601;299.6488138975244;251.58788349952965;249.6211855931201
308;3T3;aSFL;M450;none;20um fibronectin discs;7;6925.747147777115;312.3022172072818;256.6492101847698;249.6211855931201
309;3T3;aSFL;M450;none;20um fibronectin discs;8;8427.55191427853;285.6000957687262;235.1285952629396;249.6211855931201
310;3T3;aSFL;M450;none;20um fibronectin discs;9;9609.40198874856;273.88958406555105;237.82867874904517;249.6211855931201
311;3T3;aSFL;M450;none;20um fibronectin discs;14;8235.415173961657;273.70471447438973;223.62040585521527;249.6211855931201
312;3T3;aSFL;M450;none;20um fibronectin discs;15;4076.768563412426;366.8982363996727;298.7903959123146;249.6211855931201
313;3T3;aSFL;M450;none;20um fibronectin discs;2;3831.6880597791055;411.1134000421694;337.38154365137007;299.95742359293035
